city,state,county,street1,street2,zipcode,latitude,longitude,province,footnotes,isvalidated,dpvfootnotes,dpvmatchcode,lasclinkcode,lasclinkindicator,latlongprecision,suitelinkmatch
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,1150 S IRONTON ST,UNIT 130,80010,39.69367,-104.86327,,"A - The address was found to have a different 5-digit ZIP Code than given in the submitted list. The correct ZIP Code is shown in the ZIP Code field | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip8,FALSE
FORT COLLINS,"{""code"": ""CO"", ""name"": ""Colorado""}",Larimer,2601 S. LEMAY AVE.,,80525,40.55121,-105.05924,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
ARVADA,"{""code"": ""CO"", ""name"": ""Colorado""}",Jefferson,7725 WADSWORTH BLVD.,,80003,39.83637,-105.08315,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",Denver,4700 W. 38TH AVE.,,80212,39.76927,-105.04788,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
BOULDER,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,2525 ARAPAHOE AVE.,,80302,40.0165,-105.26219,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
COLORADO SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",El Paso,1730 DUBLIN BLVD.,,80918,38.92624,-104.79627,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,1150 S IRONTON ST,UNIT 130,80010,39.69367,-104.86327,,"A - The address was found to have a different 5-digit ZIP Code than given in the submitted list. The correct ZIP Code is shown in the ZIP Code field | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip8,FALSE
FRASER,"{""code"": ""CO"", ""name"": ""Colorado""}",Grand,40 COUNTY ROAD 804,,80442,39.94854,-105.84785,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | R7 - Confirmed as a valid address that doesn't currently receive US Postal Service street delivery | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ELKTON,"{""code"": ""FL"", ""name"": ""Florida""}",Saint Johns,OVERSTOCK TRANSFER,4055 DEER PARK BLVD,32033,29.82377,-81.38658,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ELIZABETH,"{""code"": ""CO"", ""name"": ""Colorado""}",Elbert,220 S. ELIZABETH STREET,,80107,39.35758,-104.59764,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | L - An address component (i.e., directional or suffix only) was added, changed, or deleted in order to achieve a match | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip8,FALSE
NORTH EAST,"{""code"": ""MD"", ""name"": ""Maryland""}",Cecil,585 PRINCIPIO PARKWAY WEST,,21901,39.59468,-75.99737,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip8,FALSE
OREM,"{""code"": ""UT"", ""name"": ""Utah""}",Utah,1375 S STATE ST,,84097,40.2722,-111.68286,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
BILLINGS,"{""code"": ""MT"", ""name"": ""Montana""}",Yellowstone,1603 GRAND AVE,SUITE 135,59102,45.78561,-108.55717,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,3440 S TOWER RD,,80014,39.65389,-104.77201,,A - The address was found to have a different 5-digit ZIP Code than given in the submitted list. The correct ZIP Code is shown in the ZIP Code field | ,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
OREM,"{""code"": ""UT"", ""name"": ""Utah""}",Utah,1375 S STATE ST,,84097,40.2722,-111.68286,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
GREELEY,"{""code"": ""CO"", ""name"": ""Colorado""}",Weld,4759 W. 29TH ST,UNIT B,80634,40.38944,-104.75847,,"L - An address component (i.e., directional or suffix only) was added, changed, or deleted in order to achieve a match | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
,"{""code"": "".."", ""name"": ""N/A""}",,,,0,0,0,,,FALSE,,,,,,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",Denver,3110 EAST FIRST AVENUE,,80206,39.7177,-104.95017,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
OREM,"{""code"": ""UT"", ""name"": ""Utah""}",,1375 S STATE ST,,84097,0,0,,,FALSE,,,,,,FALSE
LITTLETON,"{""code"": ""CO"", ""name"": ""Colorado""}",Douglas,8355 RAMPART RANGE ROAD,,80125,39.48418,-105.07374,,"L - An address component (i.e., directional or suffix only) was added, changed, or deleted in order to achieve a match | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,15405 EAST BRIARWOOD CIRCLE,,80016,39.59405,-104.809,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
FORT COLLINS,"{""code"": ""CO"", ""name"": ""Colorado""}",Larimer,2601 S. LEMAY AVE.,,80525,40.55121,-105.05924,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
SALT LAKE CITY,"{""code"": ""UT"", ""name"": ""Utah""}",Salt Lake,216 S 700 E,,84102,40.76464,-111.87153,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
PARKER,"{""code"": ""CO"", ""name"": ""Colorado""}",Douglas,11051 SOUTH PARKER ROAD,,80134,39.5218,-104.76578,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
TOLLESON,"{""code"": ""AZ"", ""name"": ""Arizona""}",Maricopa,400 SOUTH 99TH AVE,,85353,33.44491,-112.27697,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
LONGMONT,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,1632 HOVER ROAD,,80501,40.18796,-105.12982,,"L - An address component (i.e., directional or suffix only) was added, changed, or deleted in order to achieve a match | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
KANSAS CITY,"{""code"": ""MO"", ""name"": ""Missouri""}",Jackson,1250 NORTH SOUTHERN RD,,64120,39.13241,-94.51902,,"L - An address component (i.e., directional or suffix only) was added, changed, or deleted in order to achieve a match | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
DURANGO,"{""code"": ""CO"", ""name"": ""Colorado""}",La Plata,311 W. COLLEGE DR,,81301,37.27179,-107.88539,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ARVADA,"{""code"": ""CO"", ""name"": ""Colorado""}",Jefferson,7725 WADSWORTH BLVD.,,80003,39.83637,-105.08315,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,15405 EAST BRIARWOOD CIRCLE,,80016,39.59405,-104.809,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
GREENWOOD VILLAGE,"{""code"": ""CO"", ""name"": ""Colorado""}",,8557 E. ARAPHOE RD.,# 8,80112,0,0,,,FALSE,,,,,,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",,6220 EAST 14TH AVENUE,,80220,0,0,,,FALSE,,,,,,FALSE
GLENWOOD SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",,2001 GRAND,,81601,0,0,,,FALSE,,,,,,FALSE
AURORA,"{""code"": ""CO"", ""name"": ""Colorado""}",,15405 EAST BRIARWOOD CIRCLE,,80016,0,0,,,FALSE,,,,,,FALSE
MURRAY,"{""code"": ""UT"", ""name"": ""Utah""}",Salt Lake,6284 S STATE ST,,84107,40.6356,-111.88983,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
BOULDER,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,2525 ARAPAHOE AVE.,,80302,40.0165,-105.26219,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
LAFAYETTE,"{""code"": ""CO"", ""name"": ""Colorado""}",,555 W. SOUTH BOULDER RD.,SUITE A,80026,0,0,,,FALSE,,,,,,FALSE
COLORADO SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",,1730 DUBLIN BLVD.,,80918,0,0,,,FALSE,,,,,,FALSE
BOULDER,"{""code"": ""CO"", ""name"": ""Colorado""}",Boulder,1651 BROADWAY,,80302,39.97195,-105.23763,,,TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
COLORADO SPRINGS,"{""code"": ""CO"", ""name"": ""Colorado""}",El Paso,1920 SOUTH NEVADA AVENUE,,80905,38.80576,-104.82335,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
FARMINGTON,"{""code"": ""NM"", ""name"": ""New Mexico""}",San Juan,3540 EAST MAIN STREET,,87402,36.75117,-108.15888,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
DENVER,"{""code"": ""CO"", ""name"": ""Colorado""}",Denver,200 QUEBEC ST,,80230,39.72074,-104.90256,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
SANTA FE,"{""code"": ""NM"", ""name"": ""New Mexico""}",Santa Fe,199 PASEO DE PERALTA,,87501,35.69231,-105.94735,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,,Zip9,FALSE
ENGLEWOOD,"{""code"": ""CO"", ""name"": ""Colorado""}",Arapahoe,5001 S. BROADWAY,,80113,39.62415,-104.98807,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ALBUQUERQUE,"{""code"": ""NM"", ""name"": ""New Mexico""}",Bernalillo,11201 MONTGOMERY BLVD. NE,,87111,35.13075,-106.51561,,"N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,AA - City/state/ZIP + street are all valid | BB - ZIP+4 matched; confirmed entire address; address is valid | ,Y - Confirmed; entire address was DPV confirmed deliverable,,,Zip9,FALSE
ALBUQUERQUE,"{""code"": ""NM"", ""name"": ""New Mexico""}",Bernalillo,10701 CORRALES RD. NW,,87114,35.20722,-106.64305,,"H - ZIP+4 information indicates that this address is a building. The address as submitted does not contain a secondary (apartment, suite, etc.) number. SmartyStreets recommends that the customer check the accuracy of the submitted address and add the missing secondary number to ensure the correct Delivery Point Barcode (DPBC) | N - The delivery address was standardized. For example, if STREET was in the delivery address, SmartyStreets will return ST as its standard spelling | ",TRUE,"AA - City/state/ZIP + street are all valid | N1 - Confirmed with missing secondary information; address is valid but it also needs a secondary number (apartment, suite, etc.) | ","D - Confirmed - Missing Secondary Info; the address was DPV confirmed, but it is missing secondary information (apartment, suite, etc.)",,N  No match; a new address could not be furnished; the input record could not be matched to a record in the master file | ,Zip9,FALSE
